tweet,original_sentiment
"As news of the region's first confirmed COVID-19 case came out of Sullivan County last week, people flocked to area stores to purchase cleaning supplies, hand sanitizer, food, toilet paper and other goods, @Tim_Dodson reports https://t.co/cfXch7a2lU",Positive
ADARA Releases COVID-19 Resource Center for Travel Brands: Insights Help Travel Brands Stay Up-To-Date on Consumer Travel Behavior Trends https://t.co/PnA797jDKV https://t.co/dQox6uSihz,Positive
"Amazon Glitch Stymies Whole Foods, Fresh Grocery Deliveries

""As COVID-19 has spread, we've seen a significant increase in people shopping online for groceries,"" a spokeswoman said in a statement. ""Today this resulted in a systems impact affecting our ...

 https://t.co/TbzZ2MC3b3",Extremely Positive
"https://t.co/AVKrR9syff



The COVID-19 coronavirus pandemic is impacting consumer shopping behavior, purchase decisions and retail sales, according to a First Insight study.",Neutral
"We have AMAZING CHEAP DEALS! FOR THE #COVID2019 going on to help you???

#Trials

#Monthly

#Yearly 

And Resonable #Prices / #Subscriptions

Just DM US! #bestiptv #iptv #Service #Iptv #iptvdeals #Cheap #ipTV #Football #HD #Movies #Adult #Cinema #hotmovies #iptvnew #iptv2020 #Adult",Extremely Positive
"We have AMAZING CHEAP DEALS! FOR THE #COVID2019 going on to help you???

#Trials

#Monthly

#Yearly 

And Resonable #Prices / #Subscriptions

Just DM US! #bestiptv #iptv #Service #Iptv #iptvdeals #Cheap #ipTV #Football #HD #Movies #Adult #Cinema #hotmovies #ipTv IPTVLinks #18Movies",Extremely Positive
"@7SealsOfTheEnd Soon with dwindling supplies unlawful Panicky people will be breaking into Closed Stores & Supermarkets to Raid them as they normally do during a Crisis so massive as the #Coronavirus



#StockUp&LockUp",Extremely Negative
"'Hole' Foods...



...images from the nicest grocery store in one of the richest neighborhoods in the United States.



https://t.co/WnQSoMtkVI



#BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #COVID19 #COVID?19 #COVID_19 #COVID2019 #Collapse",Extremely Positive
"We're sorry to say that our @FinFabUK event is being cancelled due to Covid-19. The health and wellbeing of our attendees, speakers and staff is our top priority. Apologies for any disappointment this may cause. All FAQs are answered in the link below:

https://t.co/GDDPTudCvj",Negative
Breaking Story: Online clothes shopping rises as people find mysterious white patches forming on clothes. #QuarantineLife #CoronavirusOutbreak #coronavirus #IMadeThisUp #FakeNews https://t.co/5Z24hptT9M,Neutral
"Never thought I'd say this, but. 2019, Will you come back!? PLEASE! #coronavirus #COVID19 #peoplearelosingtheirminds #StopTheMadness #stoppanicbuying",Extremely Positive
"Consumer Corner: #Scammers Taking Advantage Of #COVID-19 Fears



#coronavirus #cdc #flu #trends #alert



https://t.co/sk9qCJsnYl https://t.co/T7qejP3hys",Negative
What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives https://t.co/Ybg8Zupdf6 via @pymnts,Neutral
Coronavirus poses a complex puzzle for food-delivery companies - their delivery capacity may buckle under surging demand. https://t.co/1C1cMLmQii via @WSJ #services #food #delivery #coronavirus,Negative
I work in retail I keep stock back for our older customers so when such as frank comes in store for his bread and he sees a empty shelve I say don't worry pal I've saved you 1. Same as pat n her beans. Could I get disciplined? Yes do I care ? No I've got a ?? #coronavirus,Positive
I followed this when I went shopping a few days ago. It's a pain but necessary! Protect Yourself From Grocery Shopping - Consumer Reports #COVID2019 #StayHealthy https://t.co/48nG14me6E,Positive
"UPDATE: Make sure to check your local listings to see what is open/closed at what times.

Chick-fil-A (Drive through only)

Starbucks (Using to-go model)

Early closing include King Soopers, Sam's Club etc..

https://t.co/8yP3x1MH4h",Positive
"Kids Get Mild COVID-19 Symptoms, But Chance of Transmission High: Study https://t.co/MKxFtAk74d",Positive
"@SPARintheUK Can you confirm why in store signage says you're taking extra precautions in light of COVID-19, when staff are stating nothing is changing. 



What efforts are your management doing to protect your retail workers?  Speed is crucial here. 
",Positive
I feel like I won the #lottery just now. How much is this worth on the #stockmarket #toiletpaper #Arizona #coronavirus #StopPanicBuying #FoxNews #fox10phoenix https://t.co/PLJCt49ik7,Extremely Positive
"When the government says to start social distancing, but you work retail so you can't just not talk to customers in the store lol fml I'm 100% going to catch covid-19",Positive
"DEAR HOARDER :

#COVID?19 #COVID19 #coronapocolypse #coronavirus #COVID #Hoarders #groceries #panicshopping #StopPanicBuying https://t.co/bV0ajl2Yww",Positive
Please read our full LAVA Covid-19 Statement & Announcement of Online Store for Consumer Electronics and Computing Interfaces here: https://t.co/1u3gfhzk0Z https://t.co/s8pH8wAsty,Positive
What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives - https://t.co/hG5vYrH02L,Neutral
How to Avoid Coronavirus Phishing Scams - Consumer Reports https://t.co/D166pdSHLM #covid-19 #Coronavirus #coronavirus #Coronavirusupdate #Coronapocolypse,Extremely Negative
"My colleague texts me at 8pm to ask if I need anything from the supermarket.



Me: could you buy me 2 cartons of unsweetened almond milk ?



I try to convince myself I'm not millennial material and I say sh*t like this 



#COVID2019",Positive
"Casper Provides Business Update On COVID-19 - https://t.co/ZS6NpEF9Vz YORK--(BUSINESS WIRE)--Casper Sleep Inc. (""Casper"" or the ""Company"") (NYSE: CSPR) today provided an update on its North America retail store operations in response to the continued spread of COVID-19.



In l... https://t.co/0oAHf51FtI",Neutral
">@MassGovernor announces $10M loan fund administered by @MassGCC to provide financial relief up to $75k to MA-based businesses, including nonprofits, with <50 full- & part-time employees impacted by #COVID19. #MAbiz



Release: https://t.co/nxrDH25i8r

Apply: https://t.co/w2VJdOwRcg https://t.co/sP6sTraxLQ",Extremely Positive
"DO NOT PANIC. DO NOT FEAR. 

Fear Is the Mind Killer

The pres. is WORKING WITH the private sector to ensure EVERYONE has access to food & supplies. Turn off the CNN.

Resist herd mentality.

#CoronavirusPandemic #coronavirus #coronapocolypse 

(hea!th) 

https://t.co/1Hw3xzvkS5",Extremely Positive
"Stock Drops Amid the COVID-19 Outbreak Ã¢ÂÂ Here's the latest on the extent of the damage for the share prices for several key companies in ÃÂ«IT, Tech & MediaÃÂ», ÃÂ«Auto & TransportationÃÂ», ÃÂ«Travel, Retail & Consumer GoodsÃÂ», and ÃÂ«Banking & FinancesÃÂ». Opportunities for investing!

#COVID19 https://t.co/TpNFuLALld",Positive
"It's Panic Foraging or 'Street Food'  - Saffron Flapjack, The Nose's Food and Drink writer has more than usual to say, and includes a recipe



#manchestereveningnose #saffronflapjack #panicforage #panicforaging #covid19 #coronavirus https://t.co/4h4lh9UCl5 https://t.co/2RGz7cv5TG",Negative
"Meanwhile In #Canada, Couple Cleans Out Entire #Meat Section Of Store! https://t.co/T897aWGGvk via @YouTube #hoarding   #coronavirus #nomestleft

#nofood

#canada

#panic",Neutral
"Good read for those worried about or participating in grocery store runs during #coronavirus. In an era of lean, it's difficult to accommodate huge discrete surges in demand at stores, but the supply chain is still strong. via @nytimes :  https://t.co/6Tt8TQL1SD",Extremely Positive
FL Agriculture Commissioner and the FL Dept of Agriculture & Consumer Svcs announced they've activated their 'Summer BreakSpot' website where families can find free meals for children under 18 during the Corona virus closures. https://t.co/ASA2GrkFKr #CoronaVirus #COVID19 https://t.co/IqwHVHO20f,Positive
"Told my employer I wasn't going to work tonight because I didn't want to risk bringing COVID-19 home to my family.

I work in a retail store that isn't taking precautions and has customers coming from areas with confirmed cases.



Employer said: ""We need you, we're short tonight.""",Negative
"Tips to Stay Fraud Free During COVID-19 Attempts! 



For more information from the Federal Trade Commission, visit https://t.co/Kr5zTEJFgG https://t.co/SMivHMt66m",Negative
".#Amazon says the #coronavirus outbreak has caused a surge in online shopping, and now the online giant is adding 100,000 new full-time and part-time positions across the United States to keep up with the demand, reported CNN. https://t.co/qUggNX1ldf",Positive
"@Amazon says it needs to hire 100,000 people across the U.S. to keep up with a crush of orders as the #coronavirus spreads and keeps more people at home, shopping online. https://t.co/YE2DB6demN (via@ABC) #jobs #hiring",Negative
"COVID-19 pandemic and plunging global financial markets drove consumer confidence today to two-year low, according to @MorningConsult survey https://t.co/L3qCsEzXAA https://t.co/C5BUrZIZun",Positive
"COVID-19: No Need For Panic Buying, Food Available At All Times - PM Assures https://t.co/K2ECAO51yA",Negative
"The Food Supplies and Consumer Welfare department of the Odisha government is taking effective steps to prevent black marketing and hoarding of protective masks and hand sanitizers in the State.

#Odisha #OdishaNews #OmmcomNews https://t.co/VBIqm3zp1Q",Extremely Positive
"Oregon Gov. Kate Brown on Monday afternoon ordered Oregon restaurants and bars to stop all on-site dining and limit sales to takeout and delivery.

https://t.co/WR6l3TK0wp",Negative
"BREAKING: The Centers for Disease Control recommended that Americans cancel or postpone gatherings of 50 or more people for the next eight weeks.



It's the most aggressive federal guidance issued yet in response to the coronavirus outbreak 

https://t.co/JWrEOWLadW",Negative
"? Consumer Reports suggests stocking up on 90+ days of your most important medication. Are you stocked up on your birth control? ? 



https://t.co/i4vHXhzuK6",Positive
You're welcome! Now #StopHoarding #StopPanicBuying #StayAtHome and #StaySafe amid the #coronavirus #COVID19 #CoronaVirusUpdates https://t.co/T3nZULlQwn,Positive
"LVMH converting perfume factories to make hand sanitizer

What Retail leaders say about Covid-19

Ikea's eCommerce strategy

America's retailers start crowd control

Ulta Beauty stops store beauty services

#ecommerce #retail #dtc #coronapocalypse #covid19

https://t.co/rAfJ2l2cEQ https://t.co/wFRPxc3Qfi",Extremely Positive
"Response to COVID-19 (Novel Coronavirus)



Post Winery's retail store, including The Trellis Room, will be CLOSED to the public Monday, March 16. Further closure or limited hours will be announced the following week, Mon.Mar.23rd. POST Wine available at local stores. Be well? https://t.co/e9WSaIP3mf",Positive
Homebound due to COVID-19? Working in cramped conditions? How to Set Up a Home Workstation In Any Room | Coronavirus - Consumer Reports https://t.co/eeIVo0Ikuk,Neutral
"'There Is Plenty of Food in the Country'



Americans have been alarmed by empty #grocery shelves, but while food suppliers & retailers say they are struggling with surging demand, they insist the supply chain remains strong. #panicbuying #coronavirus

https://t.co/jmhjJIeLUU",Negative
"@Tweeter4Trump1 @deus_rock @AngelaOrme3 @Capone20201 @TeeTrumpette @ks_jhawk @GayRepublicSwag Because you are willfully ignorant & deliberately blind. 



The media has been far more accurate than 45, the King of Lies.



The market's reacting to ",Extremely Negative
Economic Perspectives - Global Inflation Perspectives March 2020: US consumption is about to fold Growing uncertainty around Covid-19 has triggered panic buying of government and toilet paper alike. Consumer confidence surveys will soon reflectÃ¢ÂÂ¦ https://t.co/bNYm73ZdRp https://t.co/DR9MEB38o7,Negative
WALMART CUTS STORE HOURS FOR RESTOCKING The retail giant has reduced its store operating hours to give employees more time to restock shelves and clean and sanitize stores. https://t.co/n9D99iPy8y #retail #restocking #stores #coronavirus #walmart #retailtrends,Negative
"Some thoughts and raw prognosis according to the #COVID2019 

1. Everyone is sitting home - internet traffic is growing

2. Food retailers will earn a lot

3. Raise of demand on tools and services to power-up remote workflow

4. Bitcoin is falling down but the technology still strong",Extremely Positive
Retailers step up to fight coronavirus | Chain Store Age #Retail #Walmart #Pittsburgh #coronavirus #coronapocolypse  https://t.co/trV5Gzu2Gk,Negative
"Bakkt Marching Towards Summer Launch of Consumer App, While Closing $300M Series B https://t.co/VzF2Q7J6ph #app #Bakkt #blockchain #covid-19 #Crypto #DigitalSecurities #ICE #SeriesA #SeriesB #securitytoken #sto #securitytokens #digitalsecurities",Neutral
NOT ALL BUSINESSES CAN HAVE THEIR EMPLOYEES WORK FROM HOME Retail restaurants coffee shops entertainment venues optometrists grocery stores bodegas non profits that work in the field veterinarian offices dentists mailing centers like UPS Store,Extremely Positive
"Are People Avoiding Online Shopping Portals From China Thanks To COVID-19?

 https://t.co/AS658GUWcV",Positive
The UK retailers Primark and Kingfisher have warned the coronavirus pandemic will hit sales after store closures in Europe https://t.co/DpiJozXVHn via @guardian #retail #Primark #coronavirus,Negative
"San Francisco Curfew: Residents Banned From Leaving Home After Midnight on Tuesday For Anything But Doctor's Visits or Grocery Shops to Fight Coronavirus #SanFrancisco #curfew #lockdown #CoronavirusOutbreak #coronavirus 



https://t.co/OMWCDzsITx https://t.co/P2H35DQkLT",Extremely Negative
Prelim March data from Univ of Michigan shows the Consumer Sentiment Index falling 5.0%. Additional decline is likely as COVID-19 accelerates. #ThinkWhyItMatters,Negative
M-C: Political Tribalism Impacts Consumer Sentiment On COVID-19 https://t.co/7nJqhag0fz https://t.co/xtYITOcNFQ,Neutral
"Update: For Those Of You That's Worried About Covid-19, Drink Turmeric Tea, Ginger,Lemon & Honey Herbal Tea Every Day Without Sugar,You Can Get It At Sainsbury's Supermarket & Asda, Be Safe Folks #ReneTrevor https://t.co/f23E1T1ibZ",Positive
The Humane Society of Eastern Carolina (HSEC) is taking steps to help prevent the spread of COVID-19 while still working toward its mission of finding forever homes for the animals in their care. https://t.co/endPKqhXzi,Extremely Positive
Malaysia Lock down | Covid-19 | Supermarket Finish Stock | Panic Buy https://t.co/cCxJ7o8Kyx via @YouTube,Negative
"COVID-19 Update: Please note that our website, shopping cart and online training remain available during this time. #staysafe https://t.co/5om8Y8rMm5",Positive
"#BREAKING: All @LLBean stores to close, including the company's flagship store in Freeport, starting at midnight through 3/29. It is only the 5th time in the company's history the store will closeÃ¢ÂÂthe first time for more than 24 hours. #NEWSCENTERmaine https://t.co/NVRY9cwWHc",Positive
"A draft of the #COVID?19 Response Emergency Amendment Act from @ChmnMendelson to address ""wage replacement, business relief, & additional authorities & exemptions regarding health, public safety, & consumer protection"": https://t.co/alNKHtmZaO https://t.co/g9J3JFPYPN",Positive
